initial_sl,trailing_sl,mean_roi,p5_roi,winrate,mean_max_dd
0.05,0.1,0.055238501016937294,-0.06964566152259774,0.428,-0.08862056775267294
0.05,0.15,0.11156620065581285,-0.0703443082671288,0.396,-0.10456750036244657
0.05,0.2,0.15989629699859384,-0.07053228641804923,0.372,-0.11697377615336899
0.05,0.25,0.3214016977282992,-0.0709519092116539,0.364,-0.12846676948563612
0.05,0.3,0.4406507931914307,-0.0709519092116539,0.364,-0.1375103556255591
0.1,0.1,0.07005545014013274,-0.10750439646313371,0.512,-0.10270844103932285
0.1,0.15,0.15111705676864393,-0.11581806478364705,0.528,-0.12898307501281586
0.1,0.2,0.22208222800467883,-0.12003447898911952,0.536,-0.14839227019352097
0.1,0.25,0.46938500339918005,-0.12075750952357585,0.532,-0.16496574839740086
0.1,0.3,0.6409642238858285,-0.12151557046128195,0.536,-0.17831633424948967
0.15,0.1,0.07005545014013274,-0.10750439646313371,0.512,-0.10270844103932285
0.15,0.15,0.16825143862790776,-0.154793552491869,0.576,-0.1376509656399932
0.15,0.2,0.29431046981666403,-0.16511099248044342,0.62,-0.16454607086675463
0.15,0.25,0.5917192363985123,-0.1671528866770657,0.64,-0.1860132986381583
0.15,0.3,0.7866751469875591,-0.16794469432418435,0.66,-0.20269731888545361
0.2,0.1,0.07005545014013274,-0.10750439646313371,0.512,-0.10270844103932285
0.2,0.15,0.16825143862790776,-0.154793552491869,0.576,-0.1376509656399932
0.2,0.2,0.3055587527556781,-0.1986856363979706,0.644,-0.17020252982585554
0.2,0.25,0.6499731361785146,-0.21088901007614233,0.704,-0.19610231246470428
0.2,0.3,0.8512185603615218,-0.2129512915103319,0.728,-0.21551655066318884
0.25,0.1,0.07005545014013274,-0.10750439646313371,0.512,-0.10270844103932285
0.25,0.15,0.16825143862790776,-0.154793552491869,0.576,-0.1376509656399932
0.25,0.2,0.3055587527556781,-0.1986856363979706,0.644,-0.17020252982585554
0.25,0.25,0.6777932845871999,-0.22907907863022642,0.732,-0.19980988015336135
0.25,0.3,0.9335198355064168,-0.2548425805380999,0.792,-0.22300573714080862
